epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9735106229782104,0.24321505427360535,0.08408935368061066,0.017450081184506416,0.026767421513795853,0.40704911947250366,0.3153991997241974,0.963188111782074,0.8636494874954224,0.9924407005310059,0.973393976688385,0.27575674653053284,0.10872764885425568,0.02002817392349243,0.030058400705456734,0.10961659252643585,0.3076929450035095,0.9733943343162537,0.9733773469924927,0.9911316633224487
1,0.9764103293418884,0.2692689597606659,0.08467309921979904,0.01441629696637392,0.024995407089591026,0.10251548141241074,0.3299771845340729,0.9767749905586243,0.9763844609260559,0.992262065410614,0.973393976688385,0.27714774012565613,0.09952141344547272,0.03003600239753723,0.03935994580388069,0.10794316977262497,0.665239691734314,0.9738193154335022,0.9724820852279663,0.9912863969802856
2,0.9760547280311584,0.27008527517318726,0.08256398886442184,0.01436479203402996,0.02848750725388527,0.10182013362646103,0.3361826241016388,0.9775019884109497,0.9724521636962891,0.992530107498169,0.973393976688385,0.27182653546333313,0.07626901566982269,0.015066820196807384,0.0232464037835598,0.10321300476789474,0.3808387219905853,0.9733940362930298,0.9733940362930298,0.9911313652992249
3,0.9764095544815063,0.27526453137397766,0.08744540065526962,0.018145376816391945,0.03341986611485481,0.09209207445383072,0.3609807789325714,0.9777613878250122,0.9759124517440796,0.9926038384437561,0.9732041358947754,0.28667211532592773,0.18054121732711792,0.04514804482460022,0.0819682627916336,0.1268077790737152,0.30770182609558105,0.9882504343986511,0.9283490777015686,0.9961799383163452
4,0.976409912109375,0.2716194987297058,0.08327223360538483,0.012770438566803932,0.02866494283080101,0.09566353261470795,0.32408130168914795,0.9773908257484436,0.974829912185669,0.992469310760498,0.973393976688385,0.2735134959220886,0.08550308644771576,0.011820852756500244,0.027111846953630447,0.1029130145907402,0.30772480368614197,0.9733949899673462,0.9733940362930298,0.9911317825317383
5,0.9764095544815063,0.2749025225639343,0.09248568117618561,0.012367763556540012,0.03243943303823471,0.09239526093006134,0.4299764931201935,0.9766664505004883,0.9757682085037231,0.9922259449958801,0.973393976688385,0.2826811373233795,0.11699789762496948,0.037240538746118546,0.055923089385032654,0.10394322872161865,0.3090053200721741,0.9752349853515625,0.9712449908256531,0.9917783737182617
6,0.9764094352722168,0.28455278277397156,0.11941792070865631,0.019426854327321053,0.046295855194330215,0.08661072701215744,0.485657662153244,0.9804328680038452,0.9734700918197632,0.9935194253921509,0.973393976688385,0.283566951751709,0.08131244033575058,0.01837357133626938,0.03885813429951668,0.09862132370471954,0.7104767560958862,0.9770664572715759,0.972498893737793,0.9924067854881287
7,0.9764021039009094,0.28857365250587463,0.1292937994003296,0.020938336849212646,0.04910200834274292,0.08460348099470139,0.5095629096031189,0.9823837876319885,0.9722035527229309,0.994169294834137,0.973393976688385,0.2844553589820862,0.10439973324537277,0.022787243127822876,0.04574340954422951,0.09212448447942734,0.6833124160766602,0.9750946760177612,0.9729872941970825,0.9917260408401489
8,0.9762656092643738,0.28997835516929626,0.13486909866333008,0.02113165333867073,0.05400858446955681,0.08558206260204315,0.4621967673301697,0.9829763770103455,0.9712878465652466,0.9943710565567017,0.973393976688385,0.29980623722076416,0.152181476354599,0.024417975917458534,0.059795018285512924,0.08509974926710129,0.30818426609039307,0.9803476929664612,0.971801221370697,0.9935201406478882
9,0.9764171838760376,0.2967841327190399,0.15060007572174072,0.024709384888410568,0.058705683797597885,0.07984133809804916,0.5141161680221558,0.9849367737770081,0.9720340371131897,0.9950363636016846,0.9733966588973999,0.3128630518913269,0.21570353209972382,0.04320644214749336,0.08699533343315125,0.08188779652118683,0.31212320923805237,0.9882528185844421,0.9641078114509583,0.9961658120155334
